Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_mt,sd_mag_z_mt,mean_acc_g,sd_acc_g,max_acc_g,flow_state,is_attached,lost_frames
2025-11-17 17:54:31.908,EC:69:0B:19:32:8E,1,-87,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 1E 1B 00 00 0A 00 26 01 C4 0D 63 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:32.916,EC:69:0B:19:32:8E,2,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 1F 1B 00 00 0A 00 26 01 DF 0D 55 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:33.916,EC:69:0B:19:32:8E,3,-89,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 20 1B 00 00 0A 00 26 01 FC 0D 41 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:34.922,EC:69:0B:19:32:8E,4,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 21 1B 00 00 0A 00 27 01 07 0E 3D 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:35.928,EC:69:0B:19:32:8E,5,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 22 1B 00 00 0A 00 26 01 06 0E 3A 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:36.934,EC:69:0B:19:32:8E,6,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 23 1B 00 00 0A 00 26 01 F7 0D 42 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:38.929,EC:69:0B:19:32:8E,7,-83,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 25 1B 00 00 0A 00 26 01 E1 0D 74 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:39.936,EC:69:0B:19:32:8E,8,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 26 1B 00 00 0A 00 26 01 05 0E 55 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:40.938,EC:69:0B:19:32:8E,9,-76,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 27 1B 00 00 0A 00 26 01 DC 0D 3D 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
2025-11-17 17:54:41.942,EC:69:0B:19:32:8E,10,-85,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 28 1B 00 00 0A 00 26 01 DF 0D 3E 00 00 00 00 00 00 00 00 00,335937794,9,27.714,25697,21349,20037,17747,25951,25.697,21.349,20.037,17.747,25.951,25697,True,0
